,Time,Amount,Amount Bin,Time Hour,Time Min,F1 Score,Precision Score,Recall Score
0,True,True,True,True,True,0.866877,0.953888,0.794723
1,True,True,True,True,False,0.868075,0.954243,0.796805
2,True,True,True,False,True,0.872865,0.956846,0.802865
3,True,True,True,False,False,0.873516,0.961579,0.800825
4,True,True,False,True,True,0.864699,0.951422,0.792703
5,True,True,False,True,False,0.867119,0.951924,0.796805
6,True,True,False,False,True,0.870076,0.958905,0.796764
7,True,True,False,False,False,0.873178,0.954628,0.804906
8,True,False,True,True,True,0.865043,0.949331,0.794723
9,True,False,True,True,False,0.869630,0.952067,0.800866
10,True,False,True,False,True,0.865705,0.953891,0.792703
11,True,False,True,False,False,0.863439,0.951487,0.790682
12,True,False,False,True,True,0.867841,0.947446,0.800825
13,True,False,False,True,False,0.864781,0.951491,0.792723
14,True,False,False,False,True,0.861606,0.947036,0.790662
15,True,False,False,False,False,0.866597,0.947602,0.798825
16,False,True,True,True,True,0.867888,0.956338,0.794764
17,False,True,True,True,False,0.867165,0.951619,0.796722
18,False,True,True,False,True,0.861433,0.947082,0.790703
19,False,True,True,False,False,0.869222,0.954201,0.798784
20,False,True,False,True,True,0.869070,0.956433,0.796784
21,False,True,False,True,False,0.868130,0.954024,0.796722
22,False,True,False,False,True,0.868052,0.953939,0.796784
23,False,True,False,False,False,0.872864,0.956866,0.802886
24,False,False,True,True,True,0.869111,0.956373,0.796743
25,False,False,True,True,False,0.864099,0.947125,0.794743
26,False,False,True,False,True,0.866848,0.953994,0.794743
27,False,False,True,False,False,0.869735,0.951893,0.800804
28,False,False,False,True,True,0.864096,0.947124,0.794743
29,False,False,False,True,False,0.866372,0.949602,0.796784
30,False,False,False,False,True,0.863112,0.944763,0.794723
31,False,False,False,False,False,0.869705,0.952013,0.800845

