params,params,params,params,value,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs
discriminator_steps,epochs,lr,weight_decay,,JSD,PCD,PS,WD,file_path
5,660,2.2265571681533632e-05,2.2949210971233803e-07,0.009488496155547305,0.04582870784098936,1.4859128246235938,0.009488496155547305,0.023450659423581564,../../models/Loan/CTGAN/730105a0c8b640e385ff1ccafa9941d41e12b147275fd189c7f6fd092ec2f02f.pth
3,740,4.4375759499831246e-05,1.2988101421637532e-06,0.00977718066631473,0.037670208017842995,0.9224128587056968,0.00977718066631473,0.015198948026102199,../../models/Loan/CTGAN/a4b146d010053f5c67a1bfaee26d5028b78ecfef0d22dabe4644b80ea15f8d54.pth
1,630,2.9732190380148477e-05,4.677600438239474e-06,0.014313264908747937,0.04664346948672229,1.6265846648523654,0.014313264908747937,0.03224829732956806,../../models/Loan/CTGAN/3bbfe072a83db1d2da0c7bf12e82b81a83a52c59a4639653cd788cb4e94ef31b.pth
5,1180,5.1176347245711026e-05,2.832857283057447e-05,0.010405759214664264,0.0450962940276862,0.7448756909798254,0.010405759214664264,0.021256779542505242,../../models/Loan/CTGAN/44a991f63c6b035955d79a2be454ade18097d5752dc6308dbb7febb063e79114.pth
3,1630,4.2029524879410335e-05,5.085358502871631e-05,0.011754894602790795,0.04885710983966472,0.5803116649821679,0.011754894602790795,0.034785245419941,../../models/Loan/CTGAN/77c9f3f41352af0a064c4e1a3f1875ca4222e49dbc6c1fd416cc4e7617d806b6.pth
1,800,4.435597243267017e-05,1.4893178999231483e-06,0.013003524222174927,0.0500120551289595,1.3761534771521409,0.013003524222174927,0.04120027313789012,../../models/Loan/CTGAN/f5ce8d4d2ce1b4aa3ec15524203d7fd806cf7fa181935f82c205c0575c160005.pth
2,1850,0.002183826761600177,8.278742209670994e-05,0.01155824836289397,0.04431771733519468,0.5650655428050331,0.01155824836289397,0.02307757392395434,../../models/Loan/CTGAN/db4945d88770ca0a5c8608fb465f65170d77c8358df32209af0668b9174c6a6e.pth
1,1650,0.0008330304387534636,3.574326544220187e-05,0.01672926464738785,0.062114479190020395,0.4052230593600799,0.01672926464738785,0.022991119557078176,../../models/Loan/CTGAN/efa1352b872fef925e9e06738dcbf774e600f1f563e026501e40fee3f20a9ef0.pth
3,970,0.00025412429473091957,0.0003545518247745318,0.023930650077279684,0.06521359764288423,0.37305937705119074,0.023930650077279684,0.017939042608883116,../../models/Loan/CTGAN/c5679926123f447184c82fbde2303da44ec298d3e9c5782427e8dffac7ef4a66.pth
5,1890,1.6034951030599835e-05,8.711119853860965e-05,0.010543293738535964,0.045358413993463985,0.8670572274291334,0.010543293738535964,0.014062884815272644,../../models/Loan/CTGAN/4bb697b9126bc8ea10a23c0021771f479c20ea01c6591010948d146bdc932d4d.pth
